Cach chia,Epochs,Train acc,Val acc,Test acc,Macro F1,Recall closed,Precision closed,Recall open,Gap train-val
RANDOM theo anh (70/20/10),25,0.9873,0.9875,0.9882,0.9882,0.991,0.9854,0.9855,-0.0002
THEO SUBJECT (70/20/10),25,0.9803,0.9815,0.9617,0.9493,0.9941,0.9554,0.8729,-0.0012
